month,date,fsa,location_id,actual_capacity,funding_capacity,occupied_beds,unoccupied_beds,unavailable_beds,occupancy_rate
1,2024-01-01,M5S,1051,8,8,8,0,0,100
1,2024-01-01,M6H,1029,42,42,42,0,0,100
1,2024-01-01,M6G,1102,30,30,30,0,0,100
1,2024-01-01,M5R,1541,23,23,19,4,0,82.61
1,2024-01-01,M1H,1360,101,101,101,0,0,100
1,2024-01-01,M1G,1561,48,48,21,27,0,43.75
1,2024-01-01,M6N,1154,62,62,62,0,0,100
1,2024-01-01,M5A,1008,66,68,66,0,2,100
1,2024-01-01,M5A,1008,118,122,118,0,4,100
1,2024-01-01,M5A,1008,16,21,16,0,5,100
1,2024-01-01,M5C,1190,53,53,53,0,0,100
1,2024-01-01,M5A,1008,106,107,106,0,1,100
1,2024-01-01,M5H,1005,87,88,87,0,1,100
1,2024-01-01,M6C,1028,28,28,28,0,0,100
1,2024-01-01,M5B,1026,94,94,94,0,0,100
1,2024-01-01,M5B,1026,30,30,30,0,0,100
1,2024-01-01,M5A,1149,78,78,77,1,0,98.72
1,2024-01-01,M6K,1125,120,120,120,0,0,100
1,2024-01-01,M4C,1015,62,64,62,0,2,100
1,2024-01-01,M5A,1020,30,30,30,0,0,100
1,2024-01-01,M2N,1460,46,46,41,5,0,89.13
1,2024-01-01,M3B,1024,40,40,40,0,0,100
1,2024-01-01,M5C,1007,52,52,51,1,0,98.08
1,2024-01-01,M6H,1193,36,36,36,0,0,100
1,2024-01-01,M6A,1055,70,70,70,0,0,100
1,2024-01-01,M6K,1152,70,70,63,7,0,90
1,2024-01-01,M6K,1125,112,120,112,0,8,100
1,2024-01-01,M5G,1521,60,60,54,6,0,90
1,2024-01-01,M5A,1022,35,35,35,0,0,100
1,2024-01-01,M1K,1108,61,61,61,0,0,100
1,2024-01-01,M5V,1150,109,112,108,1,3,99.08
1,2024-01-01,M5V,1150,34,34,34,0,0,100
1,2024-01-01,M5V,1150,65,66,65,0,1,100
1,2024-01-01,M5V,1150,72,75,72,0,3,100
1,2024-01-01,M1R,1220,38,38,38,0,0,100
1,2024-01-01,M2H,1200,83,87,83,0,4,100
1,2024-01-01,M1K,1031,49,49,49,0,0,100
1,2024-01-01,M6E,1019,45,45,45,0,0,100
1,2024-01-01,M4K,1080,23,23,23,0,0,100
1,2024-01-01,M4W,1118,30,30,30,0,0,100
1,2024-01-01,M6G,1002,54,54,54,0,0,100
1,2024-01-01,M5S,1018,12,12,10,2,0,83.33
1,2024-01-01,M5R,1500,15,15,12,3,0,80
1,2024-01-01,M6H,1104,16,16,16,0,0,100
1,2024-01-01,M8Y,1049,31,31,31,0,0,100
1,2024-01-01,M5B,1048,39,39,39,0,0,100
1,2024-01-01,M6K,1148,72,73,72,0,1,100
1,2024-01-01,M5A,1045,30,30,30,0,0,100
1,2024-01-01,M5A,1059,94,94,94,0,0,100
1,2024-01-01,M6P,1036,86,86,86,0,0,100
1,2024-01-01,M5C,1037,78,78,78,0,0,100
1,2024-01-01,M5A,1057,264,264,264,0,0,100
1,2024-01-01,M4M,1126,52,52,52,0,0,100
1,2024-01-01,M9V,1146,46,46,46,0,0,100
1,2024-01-01,M9V,1146,37,37,37,0,0,100
1,2024-01-01,M5T,1300,71,71,71,0,0,100
1,2024-01-01,M5S,1014,50,50,50,0,0,100
1,2024-01-01,M5R,1120,6,6,6,0,0,100
1,2024-01-01,M4Y,1041,35,35,35,0,0,100
1,2024-01-01,M1H,1115,32,49,32,0,17,100
